id,name,website,search_variants
1670,Maverick at Nexer AB,,"['Maverick at Nexer', 'Maverick at Nexer AB']"
1681,Bilfinger Engineering and Maintenance,,"['Bilfinger Engineering and Maintenance AB', 'Bilfinger Engineering and Maintenance']"
1686,Sjö&Hav Outdoor Care (Sjö&Hav),,"['Sjö Hav Outdoor Care Sjö Hav', 'Sjö Hav Outdoor Care Sjö Hav AB', 'Sjö&Hav Outdoor Care (Sjö&Hav) AB', 'Sjö&Hav Outdoor Care', 'Sjö&Hav Outdoor Care (Sjö&Hav)']"
1712,outfinder,,"['outfinder', 'outfinder AB']"
1716,Volontärbyrån,,"['Volontärbyrån AB', 'Volontärbyrån']"
1741,XRFTW,,"['XRFTW AB', 'XRFTW']"
1750,Gray Oncology Solutions,,"['Gray Oncology Solutions AB', 'Gray Oncology Solutions']"
1751,DiagnosticsXAI,,"['DiagnosticsXAI', 'DiagnosticsXAI AB']"
1761,IT Software (Solutions Scandinavia AB),,"['IT Software Solutions Scandinavia AB AB', 'IT Software (Solutions Scandinavia AB)', 'IT Software', 'IT Software (Solutions Scandinavia)', 'IT Software Solutions Scandinavia AB']"
1764,AI For HR,,"['AI For HR AB', 'AI For HR']"
1773,AI Coach Mikael Vilkas,,"['AI Coach Mikael Vilkas AB', 'AI Coach Mikael Vilkas']"
1777,W2X LABS,,['W2X LABS']
1785,Derome AB,,"['Derome AB', 'Derome']"
1787,Nytt-IQ,,"['Nytt-IQ', 'Nytt IQ AB', 'Nytt-IQ AB', 'Nytt IQ']"
1788,Archiblad's Adventures AB,,"[""Archiblad's Adventures"", 'Archiblad s Adventures AB', ""Archiblad's Adventures AB"", 'Archiblad s Adventures AB AB']"
1790,Claesson & Partners,,"['Claesson Partners AB', 'Claesson Partners', 'Claesson & Partners', 'Claesson & Partners AB']"
1792,Cambrex Karlskoga AB,,"['Cambrex Karlskoga AB', 'Cambrex Karlskoga']"
1802,AI-Coachen Mikael Vilkas,,"['AI-Coachen Mikael Vilkas', 'AI-Coachen Mikael Vilkas AB', 'AI Coachen Mikael Vilkas', 'AI Coachen Mikael Vilkas AB']"
1828,"Fritidsförvaltningen, Malmö stad",,"['Fritidsförvaltningen Malmö stad', 'Fritidsförvaltningen, Malmö stad AB', 'Fritidsförvaltningen, Malmö stad', 'Fritidsförvaltningen Malmö stad AB']"
1833,Eghed AB,,"['Eghed', 'Eghed AB']"
1842,INVID AB,,"['INVID', 'INVID AB']"
1852,HC-Tec AB,,"['HC Tec AB AB', 'HC-Tec AB', 'HC-Tec', 'HC Tec AB']"
1853,Bäckström Stockholm AB,,"['Bäckström Stockholm AB', 'Bäckström Stockholm']"
1866,VerksamhetsVision i Stockholm,,"['VerksamhetsVision i Stockholm', 'VerksamhetsVision i Stockholm AB']"
1875,Jenny Sjölin AI Coach,,"['Jenny Sjölin AI Coach', 'Jenny Sjölin AI Coach AB']"
1882,Markbolagen,,"['Markbolagen AB', 'Markbolagen']"
1888,SeederDeBoer,,"['SeederDeBoer', 'SeederDeBoer AB']"
1900,Incoord - en teknikkonsult i samhällsbyggnadssektorn som förstår generativ AI,,"['Incoord en teknikkonsult i samhällsbyggnadssektorn som förstår generativ AI', 'Incoord en teknikkonsult i samhällsbyggnadssektorn som förstår generativ AI AB', 'Incoord - en teknikkonsult i samhällsbyggnadssektorn som förstår generativ AI AB', 'Incoord - en teknikkonsult i samhällsbyggnadssektorn som förstår generativ AI']"
1907,Triangulate,,"['Triangulate', 'Triangulate AB']"
1918,AI med Anton,,"['AI med Anton AB', 'AI med Anton']"
1959,FinetuneDB,,"['FinetuneDB AB', 'FinetuneDB']"
1971,Urban Vind B.V.,,"['Urban Vind B.V.', 'Urban Vind B.V. AB', 'Urban Vind B V AB', 'Urban Vind B V']"
1974,Techlära,,"['Techlära AB', 'Techlära']"
1978,Gelectric,,"['Gelectric AB', 'Gelectric']"
2007,Qling.ai,,"['Qling ai AB', 'Qling AB', 'Qling ai', 'Qling.ai', 'Qling.ai AB', 'Qling']"
2015,AI Utbildningscentrum (AIUC),,"['AI Utbildningscentrum', 'AI Utbildningscentrum (AIUC) AB', 'AI Utbildningscentrum (AIUC)', 'AI Utbildningscentrum AIUC', 'AI Utbildningscentrum AIUC AB']"
2021,Studiefrämjandet Uppsala Västmanland,,"['Studiefrämjandet Uppsala Västmanland', 'Studiefrämjandet Uppsala Västmanland AB']"
2028,Nation.dev,,"['Nation', 'Nation AB', 'Nation dev', 'Nation.dev AB', 'Nation dev AB', 'Nation.dev']"
2033,Johan Lundberg AB,,"['Johan Lundberg', 'Johan Lundberg AB']"
2035,Mikrofonden Sverige / Sweden,,"['Mikrofonden Sverige / Sweden AB', 'Mikrofonden Sverige Sweden', 'Mikrofonden Sverige Sweden AB', 'Mikrofonden Sverige / Sweden']"
2052,Epachois Hospital Beds - Innovation,,"['Epachois Hospital Beds - Innovation AB', 'Epachois Hospital Beds - Innovation', 'Epachois Hospital Beds Innovation AB', 'Epachois Hospital Beds Innovation']"
2055,flux 1.1 Pro AI,,"['flux 1.1 Pro AI AB', 'flux 1 1 Pro AI AB', 'flux 1 1 Pro AI', 'flux 1.1 Pro AI']"
2056,AI for Social Progress,,"['AI for Social Progress', 'AI for Social Progress AB']"
2072,Chatpdffree.com,,"['Chatpdffree', 'Chatpdffree com AB', 'Chatpdffree.com', 'Chatpdffree.com AB', 'Chatpdffree com', 'Chatpdffree AB']"
2086,Aposmart,,"['Aposmart AB', 'Aposmart']"
2101,Doings by House of Impact AB,,"['Doings by House of Impact', 'Doings by House of Impact AB']"
2102,And-U,,"['And-U', 'And U', 'And-U AB', 'And U AB']"
2105,Quantic Ceos New Media,,"['Quantic Ceos New Media AB', 'Quantic Ceos New Media']"
2108,Unikum - Net AB,,"['Unikum - Net AB', 'Unikum Net AB', 'Unikum - Net', 'Unikum Net AB AB']"
2130,BUILD:ology,,"['BUILD:ology AB', 'BUILD ology AB', 'BUILD ology', 'BUILD:ology']"
2133,Teldrip,,"['Teldrip', 'Teldrip AB']"
2148,GF Piping System,,"['GF Piping System', 'GF Piping System AB']"
2152,heck.ai,,"['heck.ai AB', 'heck AB', 'heck ai AB', 'heck', 'heck ai', 'heck.ai']"
2154,CanaryBit,,"['CanaryBit AB', 'CanaryBit']"
2156,Karlskoga Energi & Miljö AB,,"['Karlskoga Energi & Miljö AB', 'Karlskoga Energi & Miljö', 'Karlskoga Energi Miljö AB', 'Karlskoga Energi Miljö AB AB']"
2168,holminnovation,,"['holminnovation', 'holminnovation AB']"
2188,Registered Documents Europe,,"['Registered Documents Europe', 'Registered Documents Europe AB']"
2201,DecKid,,"['DecKid AB', 'DecKid']"
2202,Nimble & Co,,"['Nimble & Co AB', 'Nimble Co', 'Nimble Co AB', 'Nimble & Co']"
2211,Gordon & Frost,,"['Gordon & Frost AB', 'Gordon Frost', 'Gordon & Frost', 'Gordon Frost AB']"
2218,Mitigate AI Services,,"['Mitigate AI Services', 'Mitigate AI Services AB']"
2237,Lion AI Box,,"['Lion AI Box', 'Lion AI Box AB']"
2261,SCD Information Technologies,,"['SCD Information Technologies', 'SCD Information Technologies AB']"
2268,Prosp3r,,"['Prosp3r', 'Prosp3r AB']"
2269,s-AI-les,,"['s-AI-les', 's-AI-les AB', 's AI les', 's AI les AB']"
2270,AI&I,,"['AI&I', 'AI I', 'AI&I AB', 'AI I AB']"
2275,HumanTechConnect,,"['HumanTechConnect AB', 'HumanTechConnect']"
2285,ForHumanity,,"['ForHumanity', 'ForHumanity AB']"
2287,PepperCatch,,"['PepperCatch', 'PepperCatch AB']"
2290,Millainen Consulting Oy,,"['Millainen Consulting Oy AB', 'Millainen Consulting Oy']"
2302,Hälsokontroller och blodprover Stockholm | Nordic Wellth,,"['Hälsokontroller och blodprover Stockholm Nordic Wellth AB', 'Hälsokontroller och blodprover Stockholm | Nordic Wellth AB', 'Hälsokontroller och blodprover Stockholm Nordic Wellth', 'Hälsokontroller och blodprover Stockholm | Nordic Wellth']"
2304,Releev AI Labs,,"['Releev AI Labs', 'Releev AI Labs AB']"
2306,Make AI Easy - C2M AB,,"['Make AI Easy - C2M', 'Make AI Easy - C2M AB', 'Make AI Easy C2M AB', 'Make AI Easy C2M AB AB']"
2313,Fotanofe AB - For The Many Not The Few,,"['Fotanofe AB For The Many Not The Few', 'Fotanofe AB - For The Many Not The Few', 'Fotanofe AB For The Many Not The Few AB', 'Fotanofe - For The Many Not The Few']"
2318,AIxDesign AB,,"['AIxDesign AB', 'AIxDesign']"
2320,Chatmoat,,"['Chatmoat AB', 'Chatmoat']"
