id,name_x,reason,score,best_candidate,PostOrt,name_y,website,location_city,location_country
1509,IRC AI,no_candidates,,,,IRC AI,https://ircai.org,,Sweden
1511,Semanttic AB,no_candidates,,,,Semanttic AB,https://www.semanttic.com,,Sweden
1514,Swedish Red Cross,no_candidates,,,,Swedish Red Cross,,,Sweden
1515,DigJourney,no_candidates,,,,DigJourney,http://www.digjourney.com/ai,,Sweden
1521,Internetstiftelsen,no_candidates,,,,Internetstiftelsen,https://internetstiftelsen.se/en/,,Sweden
1528,Hub France IA,no_candidates,,,,Hub France IA,https://www.hub-franceia.fr,,Sweden
1532,World Economic Forum,no_candidates,,,,World Economic Forum,https://www.weforum.org,,Sweden
1542,Assemble Inc,no_candidates,,,,Assemble Inc,https://asmbl.is,,Sweden
1549,CB Insights,no_candidates,,,,CB Insights,https://www.cbinsights.com,,Sweden
1550,Mindact.ai,no_candidates,,,,Mindact.ai,https://mindact.ai,,Sweden
1554,SSF Stöldskyddsföreningen,no_candidates,,,,SSF Stöldskyddsföreningen,https://www.stoldskyddsforeningen.se/,,Sweden
1557,Artificial Collective,no_candidates,,,,Artificial Collective,https://artif.se/,,Sweden
1566,ChatGPTiSkolan,no_candidates,,,,ChatGPTiSkolan,https://www.linkedin.com/in/ulf-silling-643ba6a6/,,Sweden
1571,Natur & Kultur,no_candidates,,,,Natur & Kultur,https://nok.se,,Sweden
1573,EY (Ernst & Young),no_candidates,,,,EY (Ernst & Young),https://www.ey.com/sv_se,,Sweden
1575,Skrypt AB,no_candidates,,,,Skrypt AB,https://skrypt.ai/,,Sweden
1576,Icebreaker.vc,no_candidates,,,,Icebreaker.vc,https://icebreaker.vc,,Sweden
1580,Impatient AB,no_candidates,,,,Impatient AB,,,Sweden
1582,anavid,no_candidates,,,,anavid,https://www.anavid.ai/,,Sweden
1589,MoogleLabs,no_candidates,,,,MoogleLabs,https://www.mooglelabs.com/,,Sweden
1594,Vectorboard AI,no_candidates,,,,Vectorboard AI,https://vectorboard.ai,,Sweden
1598,Christian Krichau,no_candidates,,,,Christian Krichau,https://www.arlaplastgroup.com/en/,,Sweden
1599,Christian Krichau,no_candidates,,,,Christian Krichau,https://www.arlaplastgroup.com/en/,,Sweden
1601,M.O.A.A. Consulting AB,no_candidates,,,,M.O.A.A. Consulting AB,,,Sweden
1602,Appalume AB,no_candidates,,,,Appalume AB,,,Sweden
1604,Appalume AB,no_candidates,,,,Appalume AB,Https://appalume.se,,Sweden
1609,Lunicore Student Consulting,no_candidates,,,,Lunicore Student Consulting,,,Sweden
1610,Unity Health Toronto,no_candidates,,,,Unity Health Toronto,https://unityhealth.to,,Sweden
1611,EdAider,no_candidates,,,,EdAider,http://www.edaider.com,,Sweden
1612,Boston Consulting Group (BCG),no_candidates,,,,Boston Consulting Group (BCG),https://www.bcg.com,,Sweden
1615,Oxide AI,no_candidates,,,,Oxide AI,https://oxide.ai/,,Sweden
1618,Finlands Kommunförbund,no_candidates,,,,Finlands Kommunförbund,https://kommunforbundet.fi,,Sweden
1620,Laurent Pasquier,no_candidates,,,,Laurent Pasquier,https://global.abb/group/en,,Sweden
1624,Studieförbundet NBV,no_candidates,,,,Studieförbundet NBV,https://www.nbv.se/,,Sweden
1629,Botli.fi,no_candidates,,,,Botli.fi,https://www.botli.fi/,,Sweden
1640,IvoryTower Consulting,no_candidates,,,,IvoryTower Consulting,https://www.linkedin.com/company/ivory-tower-consulting-ab,,Sweden
1641,ChatHelp.ai,no_candidates,,,,ChatHelp.ai,https://chathelp.ai/,,Sweden
1659,Upplands-AI AB,no_candidates,,,,Upplands-AI AB,https://upplandsai.com/,,Sweden
1662,Jens Kofoed Hansen,no_candidates,,,,Jens Kofoed Hansen,https://www.sprakservice.se/,,Sweden
1670,Maverick at Nexer AB,no_candidates,,,,Maverick at Nexer AB,,,Sweden
